cgpa,iq,communication_score,projects,internships,placed
8.1,125,3,1,1,1
7.46,119,2,2,1,1
8.25,109,3,3,2,1
9.12,100,2,0,0,1
7.37,116,4,2,0,0
7.37,113,5,2,1,1
9.18,119,2,0,0,1
8.37,116,5,2,1,1
7.13,121,3,1,1,0
8.14,102,3,2,1,1
7.14,124,2,0,2,0
7.13,110,3,2,2,1
7.84,133,4,1,1,1
5.69,100,4,3,0,1
5.88,129,2,0,1,0
7.04,110,2,1,0,0
6.59,100,3,2,0,0
7.91,102,3,2,1,1
6.69,104,3,2,0,0
6.19,113,3,2,0,0
9.07,114,4,2,0,1
7.37,101,5,3,1,0
7.67,108,3,1,0,1
6.18,134,5,2,1,0
7.06,129,3,3,0,0
7.71,113,3,4,1,1
6.45,108,3,3,1,0
7.98,109,4,1,0,1
7.0,115,5,1,0,0
7.31,96,4,2,0,1
7.0,105,3,2,2,0
9.45,88,4,2,1,1
7.59,113,2,2,2,1
6.54,116,4,3,0,0
8.42,102,3,1,1,1
6.38,127,3,3,1,0
7.81,93,4,1,1,1
5.64,90,4,1,2,0
6.27,111,2,2,0,0
7.8,121,4,2,0,1
8.34,128,3,0,1,1
7.77,102,4,1,1,1
7.48,121,4,4,1,1
7.3,108,4,1,0,0
6.12,106,4,2,0,0
6.88,119,3,2,0,1
7.14,116,2,2,0,0
8.66,89,4,2,1,1
7.94,126,3,1,1,1
5.84,125,3,2,0,0
7.92,100,3,1,0,1
7.21,113,2,2,0,0
6.92,114,4,0,0,0
8.21,111,2,2,1,1
8.63,101,4,1,2,1
8.53,100,3,1,0,1
6.76,108,1,1,1,0
7.29,122,3,1,1,1
7.93,115,1,3,1,1
8.58,104,3,1,0,1
7.12,117,4,3,2,1
7.41,80,2,4,0,0
6.49,122,4,2,0,0
6.4,87,1,0,0,0
8.41,104,3,1,0,1
8.96,95,4,2,0,1
7.53,92,3,1,0,0
8.6,122,2,0,0,0
7.96,102,3,2,1,1
6.95,112,3,3,1,1
7.96,107,4,2,0,1
9.14,114,3,1,1,1
7.56,109,4,2,1,1
9.16,93,4,1,1,1
5.0,120,3,1,0,0
8.42,102,5,3,1,1
7.69,89,3,1,2,1
7.3,103,5,1,1,0
7.69,126,2,0,0,0
5.61,118,4,3,0,0
7.38,104,3,2,1,1
7.96,104,3,2,0,1
9.08,104,4,2,0,1
7.08,133,4,1,0,0
6.79,113,1,2,1,0
7.1,113,2,1,1,0
8.52,120,4,0,0,1
7.93,111,4,2,2,1
7.07,105,5,3,0,1
8.11,106,4,0,1,1
7.7,107,5,1,1,1
8.57,108,4,1,1,1
6.9,117,3,1,2,0
7.27,109,2,3,0,1
7.21,117,4,2,1,1
6.14,107,4,2,0,0
7.9,109,1,2,1,1
7.86,84,3,1,1,0
7.61,119,5,2,1,1
7.37,112,3,1,0,0
6.18,120,3,2,1,0
7.18,80,3,4,0,0
7.26,133,3,2,0,0
6.8,106,3,1,1,0
7.44,121,3,3,0,1
8.0,96,2,1,1,1
9.49,115,4,0,0,1
7.77,95,3,1,0,0
7.86,101,4,1,1,1
7.53,131,4,2,0,1
5.68,106,3,2,0,0
7.57,111,4,3,1,1
7.66,118,3,2,0,1
10.0,114,4,2,1,1
7.41,110,3,0,0,0
7.9,112,4,0,1,1
7.57,137,4,2,1,1
6.43,107,3,1,1,0
8.74,110,2,3,0,1
8.35,121,4,1,1,1
8.39,121,4,0,1,1
6.69,122,3,1,1,0
9.0,116,4,1,0,1
6.2,94,3,0,1,0
8.19,128,4,2,1,1
9.79,94,2,0,0,1
6.61,112,4,2,0,1
7.03,99,3,1,1,0
7.7,107,3,1,0,0
7.1,112,2,1,2,0
6.05,112,2,3,1,0
7.67,113,3,1,1,1
6.54,127,3,2,0,0
8.07,113,4,0,0,1
6.68,105,1,2,2,0
9.15,120,3,1,0,1
6.82,122,3,2,1,0
7.28,93,1,2,0,0
8.41,115,2,3,0,1
6.37,116,3,1,0,0
7.83,104,3,0,0,0
8.91,125,3,0,2,1
5.99,106,3,3,0,0
7.78,110,4,2,0,1
7.86,106,1,2,0,0
8.38,108,3,1,0,1
6.36,95,5,1,0,0
6.28,91,3,0,1,0
8.12,127,4,4,0,1
7.9,98,3,2,0,1
7.85,96,4,3,0,0
7.95,82,4,1,2,1
6.92,100,3,2,0,0
7.83,92,5,2,0,1
7.89,128,2,1,1,1
6.89,120,1,3,1,0
9.47,100,4,3,0,1
8.07,135,4,3,0,1
6.41,120,2,2,1,0
8.26,104,3,1,0,1
6.63,80,1,1,1,0
8.39,135,3,4,1,1
8.76,91,4,0,0,1
6.78,88,3,2,0,0
8.56,120,3,2,0,1
8.01,137,3,2,1,1
8.42,125,1,4,0,1
9.5,115,3,1,0,1
7.35,115,4,1,1,1
6.85,118,5,0,2,1
6.71,117,4,1,0,0
6.78,111,1,1,2,0
7.52,109,4,1,0,0
7.94,107,4,3,0,1
7.88,99,4,3,0,1
8.43,105,3,1,0,1
7.61,88,3,1,0,0
9.05,107,3,3,0,1
7.34,96,2,0,2,0
10.0,95,3,0,1,1
8.23,110,3,1,1,1
6.74,125,3,2,0,1
6.53,119,4,1,0,0
8.08,89,3,4,0,1
7.38,96,2,1,1,0
8.31,119,5,2,2,1
8.07,96,5,1,0,1
7.53,105,4,2,0,0
6.75,115,5,2,0,0
6.09,96,3,2,0,0
7.15,109,5,2,0,1
8.46,92,2,2,1,1
7.81,101,3,3,1,1
6.35,112,3,3,0,0
7.77,89,2,2,0,1
7.99,113,2,0,2,0
6.72,108,4,0,0,0
7.75,115,4,1,0,0
7.66,111,4,2,0,1
6.46,124,2,1,0,0
7.96,110,4,1,0,0
8.16,103,4,3,1,1
8.68,109,3,3,0,1
8.65,115,4,3,0,1
6.22,109,3,1,1,0
6.66,108,3,2,0,0
8.12,100,5,1,1,1
8.11,100,3,1,1,1
8.12,91,3,1,0,1
10.0,129,4,1,1,1
8.17,93,4,1,0,1
8.74,100,2,3,2,1
8.55,99,2,0,0,1
8.25,119,1,2,2,1
7.28,104,4,2,1,0
8.36,123,3,1,0,1
6.83,100,2,2,0,0
7.36,111,5,1,2,1
7.11,98,3,2,1,0
7.68,134,3,1,0,1
9.91,94,3,1,1,1
5.73,112,4,0,0,0
8.29,116,2,2,0,1
5.99,113,3,3,0,0
7.13,106,4,1,0,0
8.69,106,3,2,1,1
7.66,109,3,2,0,1
6.52,106,3,3,1,0
6.88,120,1,3,0,0
8.28,135,2,2,0,1
6.87,101,3,2,0,0
7.82,92,3,3,0,1
7.65,107,1,1,0,0
6.95,139,4,1,0,0
9.74,98,5,0,1,1
8.23,128,4,3,0,1
5.57,128,4,3,0,0
7.79,101,3,0,0,1
6.94,115,5,2,1,1
8.45,128,2,2,2,1
6.81,103,5,0,0,1
7.49,106,5,4,0,1
8.1,101,4,1,0,1
8.47,96,5,0,2,1
6.4,100,4,2,0,0
7.27,93,3,2,0,1
7.13,108,3,0,0,0
6.95,99,4,2,0,0
9.37,111,2,2,0,1
8.0,89,4,0,1,0
6.34,112,5,1,0,0
8.52,118,2,2,1,1
9.72,84,4,1,0,1
8.63,112,5,3,0,1
6.08,123,5,3,2,1
7.12,93,5,4,0,1
8.87,128,3,1,1,1
6.89,113,5,4,0,1
8.04,100,4,1,0,1
8.37,107,2,1,2,0
6.67,115,3,0,0,0
7.54,109,4,0,1,0
5.0,114,3,2,0,0
6.58,97,4,2,1,1
7.35,110,4,1,0,1
6.35,91,2,2,0,0
9.23,107,4,1,1,1
6.17,97,4,2,2,0
7.16,99,3,1,2,0
7.73,123,1,3,1,1
9.04,121,1,3,1,1
6.16,115,3,2,0,0
8.76,95,5,1,0,1
7.61,104,3,1,0,0
6.62,123,4,3,0,1
8.06,110,3,1,0,0
7.8,136,3,1,0,1
7.0,113,4,0,0,0
7.67,110,4,2,1,1
7.21,104,2,2,0,0
7.71,110,3,3,0,1
8.26,106,1,1,0,0
9.19,116,3,1,1,1
6.36,119,4,3,1,0
9.73,99,2,3,1,1
5.65,92,3,1,0,0
7.45,86,3,2,0,0
8.19,114,5,1,0,1
7.88,95,5,3,0,1
6.98,82,1,0,0,0
7.39,113,4,3,0,1
7.11,138,3,2,0,1
7.01,108,3,2,2,1
8.45,118,4,0,2,1
7.96,109,5,2,0,1
6.91,107,5,1,0,0
8.5,119,4,1,0,1
7.91,105,3,2,0,1
8.41,111,4,4,2,1
8.23,112,3,2,0,1
6.77,100,4,2,1,0
7.04,120,3,0,0,0
8.35,106,4,1,2,1
8.21,99,3,0,0,1
7.58,114,2,2,1,0
7.72,97,5,3,0,1
8.88,108,2,2,1,1
7.01,108,3,0,0,0
8.15,121,3,1,0,1
7.4,114,1,2,2,1
7.38,108,1,1,2,0
8.7,118,2,3,1,1
8.43,125,4,3,1,1
8.41,115,3,2,1,1
8.91,108,5,1,0,1
7.62,92,4,1,0,0
8.28,95,3,0,0,1
7.29,104,4,1,1,0
7.92,101,3,1,0,1
7.47,106,4,2,0,1
7.7,109,3,2,1,1
8.2,114,3,0,1,1
6.78,107,4,1,0,0
9.69,114,5,1,0,1
6.59,109,4,1,0,0
6.39,84,3,3,0,0
8.76,97,4,0,0,1
8.39,106,3,1,1,1
8.22,93,3,1,1,0
8.23,115,3,3,1,1
7.59,126,4,2,0,1
6.7,123,2,1,1,0
7.68,105,3,2,0,1
6.92,126,4,2,0,0
8.58,110,3,4,1,1
7.45,104,2,1,0,1
6.77,101,2,3,0,0
7.28,104,5,3,1,1
8.01,103,3,3,0,1
7.04,110,3,2,1,1
6.78,110,4,2,0,0
7.84,108,4,1,1,1
7.84,113,3,2,0,1
7.09,122,4,2,0,1
7.13,119,4,2,1,1
7.83,90,4,1,0,0
6.15,80,2,2,0,0
6.19,119,4,3,0,0
6.88,92,3,0,0,0
7.39,105,3,3,0,1
7.91,94,3,2,0,0
9.08,86,1,3,2,1
8.46,114,2,1,0,1
7.44,117,4,1,0,0
7.58,101,1,3,0,0
6.6,80,3,1,0,0
7.58,101,3,3,2,1
7.31,113,2,2,0,0
7.92,90,5,2,2,1
6.77,110,3,1,0,0
8.12,108,3,2,1,1
9.13,115,3,1,0,1
7.49,109,3,0,1,0
8.0,96,1,1,1,1
8.29,122,4,0,0,1
7.2,106,5,4,0,1
7.82,108,3,4,0,1
7.61,97,4,1,2,1
7.7,103,4,2,0,0
6.83,97,4,1,0,0
7.62,106,3,2,1,1
8.1,129,3,3,0,1
9.05,92,3,3,2,1
8.56,89,4,1,1,1
9.75,126,4,2,1,1
6.83,105,2,1,1,0
8.47,100,3,4,0,1
7.78,120,5,0,0,1
9.79,101,4,2,0,1
6.79,130,5,2,0,0
6.76,116,4,2,1,1
7.0,102,3,0,2,0
5.48,134,4,3,0,0
7.07,101,4,1,0,0
6.84,117,2,2,2,0
7.75,112,3,1,0,1
7.94,124,4,1,0,1
9.48,127,2,2,0,1
8.55,108,4,1,2,1
7.02,99,4,1,1,0
6.7,114,5,1,1,0
8.09,100,1,1,1,0
6.28,132,3,2,0,0
9.43,110,4,3,0,1
8.78,104,3,0,1,1
7.13,110,4,1,0,1
5.89,92,4,0,1,0
8.95,96,2,0,2,1
7.49,122,3,2,1,1
8.84,100,3,2,1,1
6.01,95,3,1,1,0
7.0,114,5,1,1,0
7.61,122,4,0,0,0
7.65,117,4,3,0,1
7.15,120,4,4,0,1
8.22,99,3,0,1,1
6.53,91,5,1,0,0
7.46,126,4,3,1,1
7.72,104,4,3,0,1
8.11,105,4,1,1,1
8.31,124,3,0,0,1
6.48,115,4,0,1,0
6.07,113,2,2,0,0
8.88,134,3,1,0,1
7.93,100,3,0,0,0
6.85,119,5,2,1,0
9.15,109,4,0,0,1
7.72,111,4,2,0,0
8.78,126,4,1,2,1
7.67,114,4,0,1,1
9.66,114,5,2,2,1
9.36,121,3,1,0,1
7.35,104,3,4,0,0
8.57,98,2,2,1,1
8.25,95,4,1,0,1
8.97,84,4,2,1,1
6.64,133,3,1,0,0
8.29,95,1,3,0,0
8.66,105,4,1,0,1
5.84,105,1,2,0,0
6.42,112,4,0,0,0
5.56,118,5,1,0,0
7.33,118,3,3,2,1
8.32,101,3,3,0,1
9.1,106,4,1,1,1
7.67,111,4,1,1,1
9.23,105,3,3,1,1
6.22,127,5,3,0,0
5.9,114,2,0,1,0
7.54,117,3,2,1,0
7.98,116,4,1,1,1
7.57,122,4,3,1,1
5.53,110,2,0,2,0
7.51,92,4,1,1,1
6.3,113,4,2,0,0
8.27,100,3,0,1,1
7.97,102,2,2,0,1
6.66,115,4,1,1,0
7.09,123,2,1,0,0
6.54,108,3,1,0,0
7.54,112,3,2,1,1
8.56,128,4,1,1,1
6.61,111,4,2,0,0
8.1,139,4,3,0,1
7.07,115,3,2,1,1
6.81,87,4,1,0,0
7.49,117,4,0,1,1
6.56,113,4,1,0,0
7.05,123,5,1,1,1
6.4,116,1,1,1,0
9.56,106,4,2,0,1
7.64,93,2,0,0,0
6.9,105,3,0,0,0
7.81,98,3,1,1,0
7.49,101,3,2,0,1
7.38,115,3,1,1,0
8.21,128,4,2,0,1
8.36,113,3,1,0,1
7.07,94,4,3,0,0
7.02,113,3,3,0,0
7.32,122,2,1,1,0
5.3,101,4,1,1,0
6.08,106,3,1,1,0
8.97,108,3,1,0,1
9.24,99,4,2,2,1
7.35,116,3,3,1,1
8.18,107,2,2,2,1
7.91,113,3,3,0,1
10.0,97,5,1,0,1
8.72,103,4,1,0,1
7.47,117,4,2,1,1
6.64,104,4,1,0,0
5.99,129,2,2,0,0
7.8,103,3,1,0,0
6.84,111,4,0,1,0
6.18,119,2,4,1,0
